NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
HFX Sports Bar & Grill,Drinking establishment,yes,yes,1,1,1
11 Street Boutique,Small retail,no,yes,2,0,1
1st Quality Shoe Repair,Small retail,no,yes,2,0,1
2b Theatre Company,"Live, performing arts for audience",yes,no,3,1,0
2nd Glance Hair & Aesthetics,Personal care service,yes,yes,7,1,1
30 Minute Hit,Fitness establishment,yes,yes,0,1,1
30 Minute Hit,Fitness establishment,yes,yes,0,1,1
30 Minute Hit,Fitness establishment,yes,yes,0,1,1
30 Minute Hit,Fitness establishment,yes,yes,0,1,1
360 Lounge,Restaurant with onsite dining,yes,yes,4,1,1
360Fit Personal Training,Fitness establishment,yes,yes,0,1,1
3's Company Hair Design,Personal care service,yes,yes,7,1,1
4 Way Stop Restaurant and Pizzeria,Restaurant with onsite dining,yes,yes,4,1,1
516 Salon,Personal care service,no,yes,7,0,1
5th Dimension Hair Design,Personal care service,yes,yes,7,1,1
5th Sense Massage Therapy,Self-regulated health professional,yes,yes,6,1,1
7by7 Restaurant & The Parlour Sweet House,Restaurant with onsite dining,yes,yes,4,1,1
80/20 Lifestyle Studio,Fitness establishment,yes,yes,0,1,1
9+nine Chinese Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
902 Athletics,Fitness establishment,yes,yes,0,1,1
902 Restaurant & Catering,Restaurant with onsite dining,yes,yes,4,1,1
902HipHop,"Live, performing arts for audience",yes,yes,3,1,1
9Round,Fitness establishment,yes,no,0,1,0
A Different Touch Health Clinic,Self-regulated health professional,yes,yes,6,1,1
A Good Day Kitchen and Cafe,Restaurant with onsite dining,no,yes,4,0,1
A Taste of India,Restaurant with onsite dining,yes,yes,4,1,1
A&W,Restaurant with onsite dining,yes,no,4,1,0
A&W Restaurant,Restaurant with onsite dining,yes,no,4,1,0
A&W Restaurants,Restaurant with onsite dining,yes,yes,4,1,1
A-1 Pizza,Restaurant with onsite dining,yes,yes,4,1,1
AAA Nails,Personal care service,yes,yes,7,1,1
AB Care Healthcare,Personal care service,yes,yes,7,1,1
Abalone Retreat,Self-regulated health professional,yes,yes,6,1,1
Abercrombie Country Club,Restaurant with onsite dining,no,yes,4,0,1
Acadia Sports Therapy Clinic,Self-regulated health professional,yes,yes,6,1,1
Acadian Beverage Room,Restaurant with onsite dining,yes,yes,4,1,1
Acadie Fit,Fitness establishment,yes,yes,0,1,1
Acadie Grouille,Fitness establishment,yes,yes,0,1,1
Accel Physiotherapy & Sport Performance Centre,Self-regulated health professional,yes,yes,6,1,1
Accurate Hearing NS,Self-regulated health professional,yes,yes,6,1,1
Action Laser Tag,Small retail,no,yes,2,0,1
Active Approach Health & Wellness Centre,Self-regulated health professional,yes,yes,6,1,1
Active Life Physiotherapy & Massage Clinic,Self-regulated health professional,yes,yes,6,1,1
Adda Indian Eatery,Restaurant with onsite dining,yes,yes,4,1,1
Adept Tattoos & Body Piercing Studio,Personal care service,yes,yes,7,1,1
Adjust to Wellness Family Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Admiral Digby Inn Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Admiral Tavern Company,Restaurant with onsite dining,yes,yes,4,1,1
Adorn Salon and Spa,Personal care service,yes,yes,7,1,1
Advanced Mobility,Self-regulated health professional,yes,yes,6,1,1
afrite,Restaurant with onsite dining,yes,yes,4,1,1
Aglow Laser Clinic & Medispa,Personal care service,yes,yes,7,1,1
Agricola Health and Wellness,Self-regulated health professional,yes,yes,6,1,1
Ahead of Hair,Personal care service,yes,yes,7,1,1
Akrata Operations,Restaurant with onsite dining,yes,yes,4,1,1
Al Arz Pita Bakery,Restaurant with onsite dining,yes,yes,4,1,1
Aladdin,Restaurant with onsite dining,no,yes,4,0,1
Alexandra's Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Alexandra's Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Align Chiropractic and Wellness,Self-regulated health professional,no,yes,6,0,1
All 4 Paws Pet Services,Personal care service,yes,yes,7,1,1
All About Eyecare Optometrists,Self-regulated health professional,yes,yes,6,1,1
All About Eyewear Optical,Self-regulated health professional,yes,yes,6,1,1
All About You Lingerie & Boutique,Small retail,no,yes,2,0,1
All Dolled Up Hair & Beauty,Personal care service,yes,yes,7,1,1
All Smiles Dental Hygiene Clinic,Self-regulated health professional,yes,yes,6,1,1
Alladin Syrian Canadian Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Alliance Chiropractic & Massage Therapy Services Inc.,Self-regulated health professional,yes,yes,6,1,1
Allied Therapy,Self-regulated health professional,yes,yes,6,1,1
Alma's Family Hair Salon,Personal care service,yes,yes,7,1,1
Almonak,Restaurant with onsite dining,yes,yes,4,1,1
Alpha Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Alpha Laser Therapy Centre,Self-regulated health professional,yes,yes,6,1,1
Alya Optometry,Self-regulated health professional,yes,no,6,1,0
AM Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Ambili Esthetics,Personal care service,yes,yes,7,1,1
Amherst Chiropractic,Self-regulated health professional,yes,no,6,1,0
Amherst Shore Country Inn,Restaurant with onsite dining,yes,yes,4,1,1
Amherst Shotokan Karate Academy,Fitness establishment,yes,yes,0,1,1
Amigos,Small retail,no,yes,2,0,1
